,title,links,publication_date,venue,link4download,num_citations,num_downloads_cu,abstract
28,Defense against spoofed IP traffic using hop-count filtering,https://dl.acm.org/citation.cfm?id=1241836&preflayout=flat,February 2007,"IEEE/ACM Transactions on Networking (TON): Volume 15 Issue 1, February 2007",https://dl.acm.org/ft_gateway.cfm?id=1241836&ftid=412329&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,46,"1,551","IP spoofing has often been exploited by Distributed Denial of Service (DDoS) attacks to: 1) conceal flooding sources and dilute localities in flooding traffic, and 2) coax legitimate hosts into becoming reflectors, redirecting and amplifying flooding traffic. Thus, the ability to filter spoofed IP packets near victim servers is essential to their own protection and prevention of becoming involuntary DoS reflectors. Although an attacker can forge any field in the IP header, he cannot falsify the number of hops an IP packet takes to reach its destination. More importantly, since the hop-count values are diverse, an attacker cannot randomly spoof IP addresses while maintaining consistent hop-counts. On the other hand, an Internet server can easily infer the hop-count information from the Time-to-Live (TTL) field of the IP header. Using a mapping between IP addresses and their hop-counts, the server can distinguish spoofed IP packets from legitimate ones. Based on this observation, we present a novel filtering technique, called Hop-Count Filtering (HCF)--which builds an accurate IP-to-hop-count (IP2HC) mapping table--to detect and discard spoofed IP packets. HCF is easy to deploy, as it does not require any support from the underlying network. Through analysis using network measurement data, we show that HCF can identify close to 90% of spoofed IP packets, and then discard them with little collateral damage. We implement and evaluate HCF in the Linux kernel, demonstrating its effectiveness with experimental measurements."
29,Software defined networking-based one-packet DDoS mitigation architecture,https://dl.acm.org/citation.cfm?id=3022336&preflayout=flat,January 2017,IMCOM '17: Proceedings of the 11th International Conference on Ubiquitous Information Management and Communication,https://dl.acm.org/ft_gateway.cfm?id=3022336&ftid=1843764&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,281,"Nowadays, Distributed Denial of Service (DDoS) attacks get the most attention since volumetric attacks saturate company's networks and associated server infrastructure. In fact, DDoS can occur weekly or daily in a network but many organizations have no systems in place to monitor DDoS traffic so as to be aware if their networks are being attacked. Within that context, we propose to develop an architecture that enables a network a capacity of monitoring traffic on the fly and flexibly applying various detection and mitigation methods in order to reduce DDoS impact on the system shortly after it has happened. We also propose a "
30,POSTER: Reflected attacks abusing honeypots,https://dl.acm.org/citation.cfm?id=2512523&preflayout=flat,November 2013,CCS '13: Proceedings of the 2013 ACM SIGSAC conference on Computer & communications security,https://dl.acm.org/ft_gateway.cfm?id=2512523&ftid=1411970&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,287,"We present the observation of distributed denial-of-service attacks that use reflection of the flooding traffic off reflectors. This type of attack was used in massive attacks against internet infrastructure of Czech Republic in March, 2013. Apart from common hosts in the network, honeypots were abused as the reflectors. It caused the false positive incident detection and helped attackers. Honeypots, which are by default set to accept any incoming network connection, unintentionally amplified the effect of reflection. We present an analysis of the attack from the point of view of honeypots and show the risks of having honeypots respond to any incoming traffic. We also discuss the possibilities of attack detection and mitigation and present lessons learned from handling the attack. We point out a lack of communication and data sharing during the observed attack."
31,Methodologies for evaluating game theoretic defense against DDoS attacks,https://dl.acm.org/citation.cfm?id=2433590&preflayout=flat,December 2010,WSC '10: Proceedings of the Winter Simulation Conference,https://dl.acm.org/ft_gateway.cfm?id=2433590&ftid=1339445&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,2,51,"Distributed Denial of Service (DDoS) attacks on the Internet are used by attackers to be a nuisance, make a political statement (e.g. the 2009 attack against Estonia), or as a weapon of an Internet extortionist. Effective defense against these is a crucial study area, where advanced simulation techniques play a critical role, because of the enormous number of events involved. This paper considers a methodology for evaluating a game-theoretic defense against DDoS. We first describe a basic form of the defense, note the performance limitations suffered by a naive implementation, and then consider methodologies in which a parallelized approach may accelerate performance."
32,Dispersing Asymmetric DDoS Attacks with SplitStack,https://dl.acm.org/citation.cfm?id=3005773&preflayout=flat,November 2016,HotNets '16: Proceedings of the 15th ACM Workshop on Hot Topics in Networks,https://dl.acm.org/ft_gateway.cfm?id=3005773&ftid=1808819&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,5,235,"This paper presents SplitStack, an architecture targeted at mitigating asymmetric DDoS attacks. These attacks are particularly challenging, since attackers can use a limited amount of resources to trigger exhaustion of a particular type of system resource on the server side. SplitStack resolves this by splitting the monolithic stack into many separable components called minimum splittable units (MSUs). If part of the application stack is experiencing a DDoS attack, SplitStack massively replicates just the affected MSUs, potentially across many machines. This allows scaling of the impacted resource separately from the rest of the application stack, so that resources can be precisely added where needed to combat the attack. We validate SplitStack via a preliminary case study, and show that it outperforms naive replication in defending against asymmetric attacks."
33,RAPID: Real-time Anomaly-based Preventive Intrusion Detection,https://dl.acm.org/citation.cfm?id=3328789&preflayout=flat,May 2019,WiseML 2019: Proceedings of the ACM Workshop on Wireless Security and Machine Learning,https://dl.acm.org/ft_gateway.cfm?id=3328789&ftid=2060508&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,89,"Intrusion detection systems (IDSs) today face key limitations with respect to detection and prevention of challenging IoT-empowered attacks. We address these limitations by proposing a novel IDS called RAPID, which is based on an online scalable anomaly detection and localization approach. We show that the anomaly detection algorithm is asymptotically optimal under certain conditions, and comprehensively analyze its computational complexity. Considering a real dataset and an IoT testbed we demonstrate the use of RAPID in two different IoT-empowered cyber-attack scenarios, namely high-rate DDoS attacks and low-rate DDoS attacks. The experiment results show the quick and accurate detection and prevention performance of the proposed IDS."
34,DDoS attack detection by using packet sampling and flow features,https://dl.acm.org/citation.cfm?id=2555109&preflayout=flat,March 2014,SAC '14: Proceedings of the 29th Annual ACM Symposium on Applied Computing,https://dl.acm.org/ft_gateway.cfm?id=2555109&ftid=1484626&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,3,329,"DDoS attack becomes a challenge to the security of the Internet. The DDoS attack, which consumes a lot of valuable computing of communication resources, is known hard to defend. Aiming to the threat caused by DDoS attacks, current network requires an effective detection method. Therefore, an intrusion detection system on large network is needed for real-time detection. In this paper, we propose detection mechanism system by using packet sampling and flow feature against DDoS attacks in order to guarantee the transmission of normal traffic and prevent the flood of abnormal traffic. Our approach is proved to be efficiency by OPNET simulation results."
35,"Routing Bottlenecks in the Internet: Causes, Exploits, and Countermeasures",https://dl.acm.org/citation.cfm?id=2660299&preflayout=flat,November 2014,CCS '14: Proceedings of the 2014 ACM SIGSAC Conference on Computer and Communications Security,https://dl.acm.org/ft_gateway.cfm?id=2660299&ftid=1512358&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,4,554,"How pervasive is the vulnerability to link-flooding attacks that degrade connectivity of thousands of Internet hosts? Are some geographic regions more vulnerable than others? Do practical countermeasures exist? To answer these questions, we introduce the notion of the routing bottlenecks and show that it is a fundamental property of Internet design; i.e., it is a consequence of route-cost minimizations. We illustrate the pervasiveness of routing bottlenecks in an experiment comprising 15 countries and 15 cities distributed around the world, and measure their susceptibility to scalable link-flooding attacks. We present the key characteristics of routing bottlenecks, including size, link type, and distance from host destinations, and suggest specific structural and operational countermeasures to link-flooding attacks. These countermeasures can be deployed by network operators without needing major Internet redesign."
36,Design and implementation of SIP-aware DDoS attack detection system,https://dl.acm.org/citation.cfm?id=1656137&preflayout=flat,November 2009,"ICIS '09: Proceedings of the 2nd International Conference on Interaction Sciences: Information Technology, Culture and Human",https://dl.acm.org/ft_gateway.cfm?id=1656137&ftid=705039&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,512,"SIP is a signaling protocol used for establishing, modifying, terminating sessions in multimedia services such as VoIP, instant messaging, and video conferencing. Existing IP network security solutions can not detect new SIP specified network threats because they can not reflect characteristics of SIP. In this paper, we propose SIP-aware DDoS Attack Detection System that can monitor SIP signaling flow and detect SIP-aware DDoS attack. The proposed system collects attributes of SIP traffic, and executes anlaysing and detecting based on statistic and behavior."
37,Botz-4-sale: surviving organized DDoS attacks that mimic flash crowds,https://dl.acm.org/citation.cfm?id=1251224&preflayout=flat,May 2005,NSDI'05: Proceedings of the 2nd conference on Symposium on Networked Systems Design & Implementation - Volume 2,https://dl.acm.org/ft_gateway.cfm?id=1251224&ftid=423846&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,76,469,"Recent denial of service attacks are mounted by professionals using Botnets of tens of thousands of compromised machines. To circumvent detection, attackers are increasingly moving away from bandwidth floods to attacks that mimic the Web browsing behavior of a large number of clients, and target expensive higher-layer resources such as CPU, database and disk bandwidth. The resulting attacks are hard to defend against using standard techniques, as the malicious requests differ from the legitimate ones in intent but not in content."
38,A detection model based on statistical against DDoS attack,https://dl.acm.org/citation.cfm?id=1645084&preflayout=flat,August 2009,ICHIT '09: Proceedings of the 2009 International Conference on Hybrid Information Technology,https://dl.acm.org/ft_gateway.cfm?id=1645084&type=pdf&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,287,"A development and research for Distributed denial of service attack detection is underway. A statistical technique identified efficiently the normal packets and abnormal packets. In this paper several statistical techniques, using a mix of various offers a way to detect the attack. To verify the effectiveness of the proposed technique, it set packet filtering on router and the proposed DDoS attacks detection method on a Linux router. In result, the proposed technique detected various attacks, provided normal service mostly."
39,Delving Into Internet DDoS Attacks by Botnets: Characterization and Analysis,https://dl.acm.org/citation.cfm?id=3311552&preflayout=flat,December 2018,"IEEE/ACM Transactions on Networking (TON): Volume 26 Issue 6, December 2018",https://dl.acm.org/ft_gateway.cfm?id=3311552&ftid=2039156&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,186,"Internet distributed denial of service DDoS attacks are prevalent but hard to defend against, partially due to the volatility of the attacking methods and patterns used by attackers. Understanding the latest DDoS attacks can provide new insights for effective defense. But most of existing understandings are based on indirect traffic measures e.g., backscatters or traffic seen locally. In this paper, we present an in-depth analysis based on 50 704 different Internet DDoS attacks directly observed in a seven-month period. These attacks were launched by 674 botnets from 23 different botnet families with a total of 9026 victim IPs belonging to 1074 organizations in 186 countries. Our analysis reveals several interesting findings about today’s Internet DDoS attacks. Some highlights include: 1 geolocation analysis shows that the geospatial distribution of the attacking sources follows certain patterns, which enables very accurate source prediction of future attacks for most active botnet families; 2 from the target perspective, multiple attacks to the same target also exhibit strong patterns of inter-attack time interval, allowing accurate start time prediction of the next anticipated attacks from certain botnet families; and 3 there is a trend for different botnets to launch DDoS attacks targeting the same victim, simultaneously or in turn. These findings add to the existing literature on the understanding of today’s Internet DDoS attacks and offer new insights for designing new defense schemes at different levels."
40,Practical Proactive DDoS-Attack Mitigation via Endpoint-Driven In-Network Traffic Control,https://dl.acm.org/citation.cfm?id=3281138&preflayout=flat,August 2018,"IEEE/ACM Transactions on Networking (TON): Volume 26 Issue 4, August 2018",https://dl.acm.org/ft_gateway.cfm?id=3281138&ftid=2005090&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,28,"Volumetric attacks, which overwhelm the bandwidth of a destination, are among the most common distributed denial-of-service DDoS attacks today. Despite considerable effort made by both research and industry, our recent interviews with over 100 potential DDoS victims in over 10 industry segments indicate that today’s DDoS prevention is far from perfect. On one hand, few academical proposals have ever been deployed in the Internet; on the other hand, solutions offered by existing DDoS prevention vendors are not silver bullet to defend against the entire attack spectrum. Guided by such large-scale study of today’s DDoS defense, in this paper, we present MiddlePolice, the first readily deployable and proactive DDoS prevention mechanism. We carefully architect MiddlePolice such that it requires no changes from both the Internet core and the network stack of clients, yielding instant deployability in the current Internet architecture. Further, relying on our novel capability feedback mechanism, MiddlePolice is able to enforce destination-driven traffic control so that it guarantees to deliver victim-desired traffic regardless of the attacker strategies. We implement a prototype of MiddlePolice and demonstrate its feasibility via extensive evaluations in the Internet, hardware testbed, and large-scale simulations."
41,In-design Resilient SDN Control Plane and Elastic Forwarding Against Aggressive DDoS Attacks,https://dl.acm.org/citation.cfm?id=3268968&preflayout=flat,January 2018,MTD '18: Proceedings of the 5th ACM Workshop on Moving Target Defense,https://dl.acm.org/ft_gateway.cfm?id=3268968&ftid=2009095&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,274,"Using Software-defined Networks in wide area (SDN-WAN) has been strongly emerging in the past years. Due to scalability and economical reasons, SDN-WAN mostly uses an in-band control mechanism, which implies that control and data sharing the same critical physical links. However, the in-band control and centralized control architecture can be exploited by attackers to launch distributed denial of service (DDoS) on SDN control plane by flooding the shared links and/or the Open flow agents. Therefore, constructing a resilient software designed network requires dynamic isolation and distribution of the control flow to minimize damage and significantly increase attack cost. Existing solutions fall short to address this challenge because they require expensive extra dedicated resources or changes in OpenFlow protocol. In this paper, we propose a moving target technique called REsilient COntrol Network architecture (ReCON) that uses the same SDN network resources to defend SDN control plane dynamically against the DDoS attacks. ReCON essentially, (1) minimizes the sharing of critical resources among data and control traffic, and (2) elastically increases the limited capacity of the software control agents on-demand by dynamically using the under-utilized resources from within the same SDN network. To implement a practical solution, we formalize ReCON as a constraints satisfaction problem using Satisfiability Modulo Theory (SMT) to guarantee a correct-by-construction control plan placement that can handle dynamic network conditions."
42,A SIP-TRW algorithm for DDoS attack detection in SIP environments,https://dl.acm.org/citation.cfm?id=2108707&preflayout=flat,January 2010,ICUIMC '10: Proceedings of the 4th International Conference on Uniquitous Information Management and Communication,https://dl.acm.org/ft_gateway.cfm?id=2108707&ftid=1102296&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,138,"While there are many ongoing research efforts for Denial-of-Service (DoS) attacks in the general Internet environment, there is insufficient research on voice networks. In this paper, we present the design and evaluation of a SIP-TRW algorithm for detection of DDoS attack traffic in VoIP networks."
43,Simulated Raindrop Algorithm to Mitigate DDoS Attacks in Cloud Computing,https://dl.acm.org/citation.cfm?id=2818684&preflayout=flat,September 2015,ICCCT '15: Proceedings of the Sixth International Conference on Computer and Communication Technology 2015,https://dl.acm.org/ft_gateway.cfm?id=2818684&ftid=1633329&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,154,"Distributed Denial of Services (DDoS) Attacks are often the main source of cloud service disruptions. The considerable increase in DDoS attacks strength has drawn attention in detection and mitigation of DDoS attack. Due to use of more powerful botnets, DDoS attacks are harder to detect at the firewall, hence an efficient technique is required to mitigate DDoS attacks in cloud environment. In this paper, we present mitigation technique in cloud environment in swarm network with relay mechanism using Simulated Raindrop Algorithm (SRD), making it possible to model the defense strategy as mathematical optimization task. This algorithm is used with throughput maximization as fitness function. In the testbed setup, we have evaluated the performance of SRD with Intelligent Waterdrop Algorithm (IWD) through simulation and observed that SRD needs about 40%--45% less number of iterations for convergence. The results shows that proposed method can mitigate DDoS attack with high accuracy and achieves more robustness."
44,Using graphic turing tests to counter automated DDoS attacks against web servers,https://dl.acm.org/citation.cfm?id=948114&preflayout=flat,October 2003,CCS '03: Proceedings of the 10th ACM conference on Computer and communications security,https://dl.acm.org/ft_gateway.cfm?id=948114&ftid=239733&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,43,"2,135","We present WebSOS, a novel overlay-based architecture that provides guaranteed access to a web server that is targeted by a denial of service (DoS) attack. Our approach exploits two key characteristics of the web environment: its design around a human-centric interface, and the extensibility inherent in many browsers through downloadable ""applets."" We guarantee access to a web server for a large number of "
45,POSTER: Deterring DDoS Attacks on Blockchain-based Cryptocurrencies through Mempool Optimization,https://dl.acm.org/citation.cfm?id=3201584&preflayout=flat,May 2018,ASIACCS '18: Proceedings of the 2018 on Asia Conference on Computer and Communications Security,https://dl.acm.org/ft_gateway.cfm?id=3201584&ftid=1977520&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,381,"In this paper, we highlight a new form of distributed denial of service (DDoS) attack that impacts the memory pools of cryptocurrency systems causing massive transaction backlog and higher mining fees. Towards that, we study such an attack on Bitcoin mempools and explore its effects on the mempool size and transaction fees paid by the legitimate users. We also propose countermeasures to contain such an attack. Our countermeasures include fee-based and age-based designs, which optimize the mempool size and help to counter the effects of DDoS attacks. We evaluate our designs using simulations in diverse attack conditions."
46,Automation of Layer 7 DDoS Attacks and Post Forensic Analysis of Server Logs,https://dl.acm.org/citation.cfm?id=2693632&preflayout=flat,February 2015,SIGCSE '15: Proceedings of the 46th ACM Technical Symposium on Computer Science Education,https://dl.acm.org/author_page.cfm?id=99658691745&coll=DL&dl=ACM&trk=0,0,n/a,"Application layer (L7) Distributed Denial of Service attacks are becoming more common and an emerging threat to legitimate sites. The goal of these attacks is to prevent legitimate users from accessing a website. Due to the nature of the attacks, the low rate, and the sophisticated imitation of user behavior from automated bots, it is difficult to diagnose these on time. There is an evolving 'industry' of blackmailing and using these attacks for illegal profit [1]. Even though L7 DDoS attacks are a serious threat, studying and experimenting with them is challenging. Organizations do not share server logs because of privacy concerns. Furthermore, implementing these attacks requires instrumentation and real testbeds in order to produce realistic attacks for analysis. Therefore, it is difficult to evaluate mitigation and detection techniques. Our contribution is twofold. First, we have developed a set of testbeds on the GENI (Global Environment for Network Infrastructure) cloud infrastructure [2] to facilitate research and development of detection and mitigation techniques of L7 DDoS attacks. Second, we have used a library of attacks to perform post forensic analysis and classify L7 DDoS attacks based on their individual characteristics. Our work automates and simplifies log generation of L7 DDoS attacks for research and experimentation, as well as provides criteria to detect abnormal requests using a library of attacks."
47,Non-intrusive IP traceback for DDoS attacks,https://dl.acm.org/citation.cfm?id=1229331&preflayout=flat,March 2007,"ASIACCS '07: Proceedings of the 2nd ACM symposium on Information, computer and communications security",https://dl.acm.org/ft_gateway.cfm?id=1229331&ftid=422229&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,4,716,"The paper describes a Non-Intrusive IP traceback scheme which uses sampled traffic under non-attack conditions to build and maintains caches of the valid source addresses transiting network routers. Under attack conditions, route anomalies are detected by determining which routers have been used for unknown source addresses, in order to construct the attack graph. Results of simulation studies are presented. Our approach does not require changes to the Internet routers or protocols. Precise information regarding the attack is not required allowing a wide variety of DDoS attack detection techniques to be used. Our algorithm is simple and efficient, allowing for a fast traceback and the scheme is scalable due to the distribution of processing workload."
48,Measuring the impact of a successful DDoS attack on the customer behaviour of managed DNS service providers,https://dl.acm.org/citation.cfm?id=3310175&preflayout=flat,January 2019,"ACM SIGCOMM Computer Communication Review: Volume 48 Issue 5, October 2018",https://dl.acm.org/ft_gateway.cfm?id=3310175&ftid=2037795&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,93,"Distributed Denial-of-Service (DDoS) attacks continue to pose a serious threat to the availability of Internet services. The Domain Name System (DNS) is part of the core of the Internet and a crucial factor in the successful delivery of Internet services. Because of the importance of DNS, specialist service providers have sprung up in the market, that provide managed DNS services. One of their key selling points is that they protect DNS for a domain against DDoS attacks. But what if such a service becomes the target of a DDoS attack, and that attack succeeds?"
49,FireCol: a collaborative protection network for the detection of flooding DDoS attacks,https://dl.acm.org/citation.cfm?id=2428675&preflayout=flat,December 2012,"IEEE/ACM Transactions on Networking (TON): Volume 20 Issue 6, December 2012",https://dl.acm.org/ft_gateway.cfm?id=2428675&ftid=1335676&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,13,748,"Distributed denial-of-service (DDoS) attacks remain a major security problem, the mitigation of which is very hard especially when it comes to highly distributed botnet-based attacks. The early discovery of these attacks, although challenging, is necessary to protect end-users as well as the expensive network infrastructure resources. In this paper, we address the problem of DDoS attacks and present the theoretical foundation, architecture, and algorithms of FireCol. The core of FireCol is composed of intrusion prevention systems (IPSs) located at the Internet service providers (ISPs) level. The IPSs form virtual protection rings around the hosts to defend and collaborate by exchanging selected traffic information. The evaluation of FireCol using extensive simulations and a real dataset is presented, showing FireCol effectiveness and low overhead, as well as its support for incremental deployment in real networks."
50,Moving Target Defense against DDoS Attacks: An Empirical Game-Theoretic Analysis,https://dl.acm.org/citation.cfm?id=2995279&preflayout=flat,October 2016,MTD '16: Proceedings of the 2016 ACM Workshop on Moving Target Defense,https://dl.acm.org/ft_gateway.cfm?id=2995279&ftid=1805867&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,406,"Distributed denial-of-service attacks are an increasing problem facing web applications, for which many defense techniques have been proposed, including several moving-target strategies. These strategies typically work by relocating targeted services over time, increasing uncertainty for the attacker, while trying not to disrupt legitimate users or incur excessive costs. Prior work has not shown, however, whether and how a rational defender would choose a moving-target method against an adaptive attacker, and under what conditions. We formulate a denial-of-service scenario as a two-player game, and solve a restricted-strategy version of the game using the methods of empirical game-theoretic analysis. Using agent-based simulation, we evaluate the performance of strategies from prior literature under a variety of attacks and environmental conditions. We find evidence for the strategic stability of various proposed strategies, such as proactive server movement, delayed attack timing, and suspected insider blocking, along with guidelines for when each is likely to be most effective."
51,A DDoS attack detection mechanism based on protocol specific traffic features,https://dl.acm.org/citation.cfm?id=2393249&preflayout=flat,October 2012,"CCSEIT '12: Proceedings of the Second International Conference on Computational Science, Engineering and Information Technology",https://dl.acm.org/ft_gateway.cfm?id=2393249&ftid=1308153&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,574,This paper focuses on finding the most relevant and smallest possible subset of features for DDoS attack detection. A generic architecture of victim end DDoS defense mechanisms is presented and a near real time anomaly detection mechanism with high detection accuracy is introduced. The method is evaluated based on two real time and one benchmark dataset.
52,A novel approach in securing DDoS attack,https://dl.acm.org/citation.cfm?id=1456240&preflayout=flat,October 2008,CSTST '08: Proceedings of the 5th international conference on Soft computing as transdisciplinary science and technology,https://dl.acm.org/ft_gateway.cfm?id=1456240&ftid=581102&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,167,"The DDoS attack is one of the existing security problems of online service. The current defense mechanism is very weak, because of the inherent TCP/IP protocol problems. This paper focuses on the overload protection mechanism for Router. We use the physical topology to do the simulation and propose the Bypass Guardian System (BGS) that can prevent the Distributed Denial of Service (DDoS) attack. This system can detect attack traffic and then redirect the traffic to the system itself. At the same time, the BGS can also monitor the traffic, filtering redirection, and proxy server."
53,Towards lightweight and efficient DDOS attacks detection for web server,https://dl.acm.org/citation.cfm?id=1526896&preflayout=flat,April 2009,WWW '09: Proceedings of the 18th international conference on World wide web,https://dl.acm.org/ft_gateway.cfm?id=1526896&ftid=641752&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,452,"In this poster, based on our previous work in building a lightweight DDoS (Distributed Denial-of-Services) attacks detection mechanism for web server using TCM-KNN (Transductive Confidence Machines for K-Nearest Neighbors) and genetic algorithm based instance selection methods, we further propose a more efficient and effective instance selection method, named E-FCM (Extend Fuzzy C-Means). By using this method, we can obtain much cheaper training time for TCM-KNN while ensuring high detection performance. Therefore, the optimized mechanism is more suitable for lightweight DDoS attacks detection in real network environment."
54,The analysis of DDoS attack for the video transmission,https://dl.acm.org/citation.cfm?id=1655998&preflayout=flat,November 2009,"ICIS '09: Proceedings of the 2nd International Conference on Interaction Sciences: Information Technology, Culture and Human",https://dl.acm.org/ft_gateway.cfm?id=1655998&ftid=704551&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,1,185,"In this study, we discussed with the protocol of SIP of VoIP. The impact of packet loss is the main cause of VoIP QoS, so use the NS2 to simulation the situation of the packet loss under attack. Using the data as the packet-loss rate in the path of video transmission. To realizes the influence of video transmission under attack."
55,Quantifying the reflective DDoS attack capability of household IoT devices,https://dl.acm.org/citation.cfm?id=3098264&preflayout=flat,July 2017,WiSec '17: Proceedings of the 10th ACM Conference on Security and Privacy in Wireless and Mobile Networks,https://dl.acm.org/ft_gateway.cfm?id=3098264&ftid=1894672&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,5,426,"Distributed Denial-of-Service (DDoS) attacks are increasing in frequency and volume on the Internet, and there is evidence that cyber-criminals are turning to Internet-of-Things (IoT) devices such as cameras and vending machines as easy launchpads for large-scale attacks. This paper quantifies the capability of consumer IoT devices to participate in reflective DDoS attacks. We first show that household devices can be exposed to Internet reflection even if they are secured behind home gateways. We then evaluate eight household devices available on the market today, including lightbulbs, webcams, and printers, and experimentally profile their reflective capability, amplification factor, duration, and intensity rate for TCP, SNMP, and SSDP based attacks. Lastly, we demonstrate reflection attacks in a real-world setting involving three IoT-equipped smart-homes, emphasising the imminent need to address this problem before it becomes widespread."
56,Taming the 800 Pound Gorilla: The Rise and Decline of NTP DDoS Attacks,https://dl.acm.org/citation.cfm?id=2663717&preflayout=flat,November 2014,IMC '14: Proceedings of the 2014 Conference on Internet Measurement Conference,https://dl.acm.org/ft_gateway.cfm?id=2663717&ftid=1512796&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,26,553,"Distributed Denial of Service (DDoS) attacks based on Network Time Protocol (NTP) amplification, which became prominent in December 2013, have received significant global attention. We chronicle how this attack rapidly rose from obscurity to become the dominant large DDoS vector. Via the lens of five distinct datasets, we characterize the advent and evolution of these attacks. Through a dataset that measures a large fraction of global Internet traffic, we show a three order of magnitude rise in NTP. Using a large darknet, we observe a similar rise in global scanning activity, both malicious and research. We then dissect an active probing dataset, which reveals that the pool of amplifiers totaled 2.2M unique IPs and includes a small number of ""mega amplifiers,"" servers that replied to a single tiny probe packet with gigabytes of data. This dataset also allows us, for the first time, to analyze global DDoS attack victims (including ports attacked) and incidents, where we show 437K unique IPs targeted with at least 3 trillion packets, totaling more than a petabyte. Finally, ISP datasets shed light on the local impact of these attacks. In aggregate, we show the magnitude of this major Internet threat, the community's response, and the effect of that response."
57,A Learning Automata-based DDoS Attack Defense Mechanism in Software Defined Networks,https://dl.acm.org/citation.cfm?id=3267764&preflayout=flat,October 2018,MobiCom '18: Proceedings of the 24th Annual International Conference on Mobile Computing and Networking,https://dl.acm.org/ft_gateway.cfm?id=3267764&ftid=2008589&dwn=1&CFID=160864435&CFTOKEN=c2c713ca164e64e2-09C23F89-E07A-49C7-D508CF0C99C1F49B,0,180,"The primary innovations behind Software Defined Networks (SDN)are the decoupling of the control plane from the data plane and centralizing the network management through a specialized application running on the controller. Despite all its capabilities, the introduction of various architectural entities of SDN poses many security threats and potential target. Especially, Distributed Denial of Services (DDoS) is a rapidly growing attack that poses a tremendous threat to both control plane and forwarding plane of SDN. Asthe control layer is vulnerable to DDoS attack, the goal of this paper is to provide a defense system which is based on Learning Automata (LA) concepts. It is a self-operating mechanism that responds to a sequence of actions in a certain way to achieve a specific goal. The simulation results show that this scheme effectively reduces the TCP connection setup delay due to DDoS attack."
